From,To,Category,enabled
Маһоп12,D4rkBlizZ4rD,player,enabled
АЙ,D4rkBlizZ4rD,player,enabled
Fenrir"s Chest,Fenrir's Chest,chest,enabled
Hermes" Store,Hermes' Store,source,enabled
VVarrior"s Chest",Warrior's Chest,chest,enabled
Clan vvealth,Clan wealth,source,enabled
OsmanliTorunu,OsmanlıTorunu,player,enabled
Epic Ancient sguad,Epic Ancient squad,source,enabled
Snovvvveaver,Snowweaver,player,enabled
Krimelmonster,Krümelmonster,player,enabled
GUARDIENOfTHUNDER,GUARDIENofTHUNDER,player,enabled
Rare Chest of VVealth,Rare Chest of Wealth,chest,enabled
Epic Chest of Vvealth,Epic Chest of Wealth,chest,enabled
Sir Nightvvoolf,Sir Nightwoolf,player,enabled
Hammerschlagi,Hammerschlag1,player,enabled
Feldjager,Feldjäger,player,enabled
Feldj䧥r,Feldjäger,player,enabled
Lord Ore,Lord Öre,player,enabled
Lord ֲe,Lord Öre,player,enabled
Epic Fenrir sguad,Epic Fenrir squad,source,enabled
Ouick March Chest,Quick March Chest,chest_type,enabled
Epic Fenrir sguad,Epic Fenrir squad,source,enabled
Union of Triumph personal revvard,Union of Triumph personal reward,source,enabled
revvard,reward,general,enabled
sguad,squad,general,enabled
Vvealth,Wealth,general,enabled
VVealth,Wealth,general,enabled
Juslius C䳡r,Julius Cäsar,player,enabled
Juslius Cäsar,Julius Cäsar,player,enabled
Julius Casar,Julius Cäsar,player,enabled
Ancients",Ancients',general,enabled
Quick March Chest Chest,Quick March Chest,chest_type,enabled
Union of Triumf personal reward,Union of Triumph personal reward,general,enabled
Triumf,Triumph,general,enabled
Triumfp,Triumph,general,enabled
JÃªrmungandr,Jormungandr,general,enabled
Jêrmungandr,Jormungandr,general,enabled
J㪲mungandr,Jormungandr,general,enabled
JÃ²rmungandr,Jormungandr,general,enabled
Jòrmungandr's,Jormungandr's,general,enabled
JÃ²rmungandr's,Jormungandr's,general,enabled
JÃ²rmungandr Shop,Jormungandr Shop,source,enabled
Jòrmungandr Shop,Jormungandr Shop,source,enabled
Jòrmungandr's Chest,Jormungandr's Chest,chest_type,enabled
Epic Jêrmungandr sguad,Epic Jormungandr squad,source,enabled
Arachne's Svvarm Epic sguad,Arachne's Swarm Epic squad,source,enabled
Arachne's Swarm Epic sguad,Arachne's Swarm Epic squad,source,enabled
